angular_speed,complime,signal
0.67144775,-1.9660896,-0.58781672
0.67141724,-1.9321641,-0.56545603
0,-2.0911467,-0.39190429
0,-2.0951152,-0.45278415
0,-2.0869446,-0.40777206
0,-2.0841269,-0.41872069
0,-2.021946,-0.38660669
0,-2.0531123,-0.36055377
0,-2.0887213,-0.35349953
0,-2.0233333,-0.31171438
0,-2.0732222,-0.29734087
0,-2.0887711,-0.27550206
0,-2.138623,-0.23863699
0,-2.1527679,-0.21998547
0,-2.1968715,-0.18274586
0,-2.2350998,-0.15073857
0,-2.2369668,-0.11622665
0,-2.230649,-0.072641127
0,-2.2648151,-0.039175577
0,-2.2769802,0.006527469
0,-2.2891905,0.054910466
0,-2.2972522,0.10459581
0,-2.3380032,0.1585373
0,-2.4112043,0.21481185
0,-2.4158401,0.27234331
0,-2.5125031,0.34213781
-0.67141724,-2.5501943,0.54899061
0,-2.5746894,0.48337838
0,-2.6798677,0.55919605
0,-2.7386932,0.63996994
0,-2.8752992,0.73192602
0,-2.9429011,0.81908441
0,-3.0332808,0.91915864
0,-3.1589432,1.0203876
0,-3.290025,1.1212224
-0.67144775,-3.4032714,1.3638511
0,-3.5058548,1.3662949
-1.3428497,-3.5222926,1.7157568
-2.0142822,-3.7743912,1.9738262
-2.0142822,-4.0731559,1.9137464
-1.3428497,-5.2016535,1.7406167
-2.68573,-5.399735,2.065346
-2.0142975,-6.7773585,2.0083768
-2.6856995,-8.0502348,2.0116403
-2.0142822,-8.9734163,1.7919415
-2.68573,-9.5797091,1.8020222
-2.6856995,-10.196655,1.7493604
-2.6857147,-10.209723,1.6223313
-2.6857147,-9.952631,1.6020324
-2.6857147,-9.4589567,1.5552107
-2.0142822,-8.9628572,1.4326231
-2.6857147,-8.3768501,1.5715512
-2.0142822,-7.9170823,1.4559811
-2.6857147,-7.6163721,1.6027251
-2.0142975,-7.3531351,1.4783833
-2.0142822,-7.077558,1.5223794
-2.6857147,-7.0316825,1.7108636
-2.6857147,-6.6170473,1.699616
-2.0142822,-6.5107274,1.6366185
-2.6857147,-6.7558885,1.7699975
-2.0142822,-6.0067425,1.5410038
-2.6857147,-6.3249989,1.8253927
-2.0142822,-6.4629421,1.6245794
-2.0142975,-6.3707156,1.6468997
-2.6857147,-6.390698,1.8299483
-2.6857147,-6.2849503,1.8015672
-2.0142822,-6.3812661,1.7093425
-2.0142822,-6.3307872,1.6815755
-2.6857147,-6.0023489,1.808897
-2.6857147,-5.8216681,1.8327321
-2.6857147,-6.1313515,1.8972138
-2.6857147,-6.1711826,1.8153143
-2.6857147,-5.6211991,1.8350917
-2.6857147,-5.3370085,1.8999401
-2.6857147,-5.4124451,1.9736784
-3.3571472,-5.4903564,2.0855083
-3.3571396,-5.2978296,2.0872641
-2.6857147,-5.7196398,1.9958487
-4.0285645,-5.9448214,2.2896688
-3.3571472,-5.8198485,2.1222947
-3.3571472,-6.0892506,2.1111829
-3.3571396,-6.1146855,2.1124375
-3.3571472,-6.1932979,2.1136606
-4.0285645,-6.4453497,2.2654941
-4.0285797,-6.269134,2.2743802
-3.3571396,-6.5010757,2.1185477
-4.0285721,-6.3087449,2.2176297
-4.0285645,-6.3676405,2.2111361
-4.0285797,-6.7610583,2.2022071
-4.6999969,-6.3525057,2.2794244
-4.0285721,-6.7794428,2.1835792
-4.0285721,-6.3495111,2.141299
-4.6999969,-5.9800353,2.3162258
-4.7000046,-6.4346485,2.3274517
-4.0285721,-5.8918767,2.0383492
-4.0285721,-5.4327736,2.1657031
-4.0285683,-5.2717261,2.2330172
-4.6999969,-5.1197453,2.3738582
-4.0285721,-4.7158141,2.2205896
-4.0285721,-4.6692524,2.2257841
-4.7000008,-5.0651898,2.3617334
-4.0285721,-5.0915575,2.2439089
-4.0285721,-5.7771425,2.1128583
-4.0285721,-5.4152732,1.9636418
-4.0285711,-4.9413242,1.9114261
-4.0285711,-4.7453017,1.9806355
-4.0285711,-5.131825,1.9784013
-4.0285716,-5.0974736,1.9178833
-4.0285716,-5.0414767,1.9113179
-3.3571429,-5.1745596,1.7544575
-3.3571429,-4.939322,1.6591092
-4.0285711,-4.6620784,1.8575964
-3.3571434,-4.0148578,1.7291863
-3.3571434,-4.1716423,1.8154987
-4.0285721,-3.8785756,1.9633654
-3.3571415,-4.082243,1.9212675
-3.3571434,-4.1162086,1.7850906
-3.3571434,-3.5555456,1.8767222
-3.3571434,-3.7676704,1.8845627
-3.3571396,-4.0630465,1.8272173
-3.3571434,-4.2710571,1.7899472
-2.6857147,-4.6994643,1.5584635
-3.3571472,-3.7689466,1.726126
-2.6857109,-4.4807611,1.6153139
-2.6857147,-4.1930408,1.4595252
-2.6857147,-4.102531,1.5747826
-2.014286,-4.4850917,1.327889
-2.6857109,-4.3867698,1.4826039
-2.0142899,-4.212647,1.2816612
-2.0142822,-4.2261734,1.3614353
